Título,Endereço,Preço,Anunciante,Aréa
" Apartamento com 3 quartos à venda no bairro Setor Marista, 180m² "," Rua 1124, 273, Setor Marista, Goiânia - GO "," R$ 1.400.000,00 ",R8 Imóveis, 180m² 
" Rural com 8 quartos à venda no bairro Zona Rural, 3049200m² "," Rodovia Go, 1, Zona Rural, Araguapaz - GO "," R$ 14.999.000,00 ",Pointer Imoveis, 3049200m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 200m² "," 23, 4666, Setor Oeste, Goiânia - GO "," R$ 645.000,00 ",Nova Mercado Imobiliário, 200m² 
" Casa com 3 quartos à venda no bairro Jardim Gramado, 138m² "," Rua Jgo 8, 22, Jardim Gramado, Goiânia - GO "," R$ 750.000,00 ",Amj Gestão Imobiliária, 138m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 118m² "," Rua Rui Brasil Cavalcante, 82, Setor Oeste, Goiânia - GO "," R$ 460.000,00 ",Obter Imóveis, 118m² 
" Apartamento com 3 quartos à venda no bairro Parque Lozandes, 139m² "," Avenida Pl-3, 12, Parque Lozandes, Goiânia - GO "," R$ 900.000,00 ",R8 Imóveis, 139m² 
" Apartamento com 3 quartos à venda no bairro Centro, 107m² "," Rua 05, 418, Centro, Goiânia - GO "," R$ 310.000,00 ",Vm Imóveis, 107m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 89m² "," Rua T 51, 921, Setor Bueno, Goiânia - GO "," R$ 750.000,00 ",Pinamar, 89m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 55m² "," Rua Maceió, 351, Parque Amazônia, Goiânia - GO "," R$ 225.000,00 ",Pointer Imoveis, 55m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 57m² "," Aracaju, 342, Parque Amazônia, Goiânia - GO "," R$ 225.000,00 ",M2 Investimentos Imobiliários, 57m² 
" Casa com 3 quartos à venda no bairro Jaó, 1085m² "," Alameda Pampulha, 0, Jaó, Goiânia - GO "," R$ 1.500.000,00 ",Urbs Private 2, 1085m² 
" Apartamento com 5 quartos à venda no bairro Setor Oeste, 280m² "," Rua 7, 656, Setor Oeste, Goiânia - GO "," R$ 1.100.000,00 ",Am&p Brasil Imobiliária Ltda, 280m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 125m² "," Rua 24, 119, Setor Marista, Goiânia - GO "," R$ 1.150.000,00 ",Am&p Brasil Imobiliária Ltda, 125m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 105m² "," Rua T 29, 0, Setor Bueno, Goiânia - GO "," R$ 569.000,00 ",Urbs Private M, 105m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 206m² "," Avenida T 15, 319, Setor Bueno, Goiânia - GO "," R$ 2.036.610,00 ",Regina Neves Corretora, 206m² 
" Casa com 4 quartos à venda no bairro Parque das Flores, 412m² "," Fl46, 1, Parque das Flores, Goiânia - GO "," R$ 642.000,00 ",M2 Investimentos Imobiliários, 412m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 75m² "," Rua T 55, 0, Setor Bueno, Goiânia - GO "," R$ 580.000,00 ",Urbs Private M, 75m² 
" Casa com 4 quartos à venda no bairro Setor Marista, 506m² "," Rua 1144, 0, Setor Marista, Goiânia - GO "," R$ 3.000.000,00 ",Urbs Private M, 506m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 87m² "," T 35, 187, Setor Bueno, Goiânia - GO "," R$ 670.950,00 ",Nova Mercado Imobiliário, 87m² 
" Apartamento com 4 quartos à venda no bairro Jundiaí, 189m² "," Rua Benedito Borges de Almeida, 0, Jundiaí, Anápolis - GO "," R$ 1.370.000,00 ",Urbs Private 2, 189m² 
" Apartamento com 4 quartos à venda no bairro Setor Marista, 225m² "," Rua 34, 0, Setor Marista, Goiânia - GO "," R$ 1.700.000,00 ",Urbs Private 2, 225m² 
" Casa com 3 quartos à venda no bairro Setor Bueno, 584m² "," Avenida T 14, 0, Setor Bueno, Goiânia - GO "," R$ 1.350.000,00 ",Urbs Private 2, 584m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 65m² "," T 30, 930, Setor Bueno, Goiânia - GO "," R$ 480.000,00 ",Nova Mercado Imobiliário, 65m² 
" Casa com 4 quartos à venda no bairro Jardins Milão, 792m² "," Rua das Dálias, 0, Jardins Milão, Goiânia - GO "," R$ 5.200.000,00 ",Urbs Private 2, 792m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 86m² "," Praça T-25, 2, Setor Bueno, Goiânia - GO "," R$ 530.000,00 ",Pointer Imoveis, 86m² 
" Apartamento com 3 quartos à venda no bairro Pedro Ludovico, 140m² "," Rua 1028, 0, Pedro Ludovico, Goiânia - GO "," R$ 840.000,00 ",André Lima, 140m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 266m² "," Rua 38, 0, Setor Marista, Goiânia - GO "," R$ 2.600.000,00 ",Urbs Private 3, 266m² 
" Casa em Condomínio com 4 quartos à venda no bairro Jardins Lisboa, 198m² "," Rua das Figueiras, 222, Jardins Lisboa, Goiânia - GO "," R$ 1.850.000,00 ",Pinamar, 198m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 105m² "," T 19, 10, Setor Bueno, Goiânia - GO "," R$ 690.000,00 ",M2 Investimentos Imobiliários, 105m² 
" Apartamento com 3 quartos à venda no bairro Vila Alpes, 98m² "," C68, 495, Vila Alpes, Goiânia - GO "," R$ 545.000,00 ",M2 Investimentos Imobiliários, 98m² 
" Casa com 3 quartos à venda no bairro Parque Oeste Industrial, 283m² "," Egerineu Teixeira, 100, Parque Oeste Industrial, Goiânia - GO "," R$ 750.000,00 ",Nova Mercado Imobiliário, 283m² 
" Casa com 3 quartos à venda no bairro Residencial Goiânia Golfe Clube, 446m² "," Rua Ggc25, 0, Residencial Goiânia Golfe Clube, Goiânia - GO "," R$ 1.650.000,00 ",Urbs Private 3, 446m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 110m² "," Pocema, 629, Parque Amazônia, Goiânia - GO "," R$ 415.000,00 ",Nova Mercado Imobiliário, 110m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 75m² "," Rua T 55, 0, Setor Bueno, Goiânia - GO "," R$ 586.923,00 ",Urbs One, 75m² 
" Sala à venda no bairro Setor Marista, 31m² "," Rua 1125, 1, Setor Marista, Goiânia - GO "," R$ 125.000,00 ",Pinamar, 31m² 
" Casa em Condomínio com 3 quartos à venda no bairro Residencial Goiânia Golfe Clube, 230m² "," Rua Acesso a, 333, Residencial Goiânia Golfe Clube, Goiânia - GO "," R$ 1.850.000,00 ",Pinamar, 230m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 286m² "," Rua R 15, 0, Setor Oeste, Goiânia - GO "," R$ 900.000,00 ",Urbs Private 2, 286m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 262m² "," Avenida T 15, 0, Setor Bueno, Goiânia - GO "," R$ 1.695.000,00 ",Urbs Private 3, 262m² 
" Lote à venda no bairro Jardins Verona, 830m² "," Rua dos Camarás, 0, Jardins Verona, Goiânia - GO "," R$ 1.909.000,00 ",Urbs Private 2, 830m² 
" Apartamento com 3 quartos à venda no bairro Vila Rosa, 75m² "," Marialva Qd. 18, 435, Vila Rosa, Goiânia - GO "," R$ 409.000,00 ",R8 Imóveis, 75m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 48m² "," 1128, 1, Setor Marista, Goiânia - GO "," R$ 389.000,00 ",M2 Investimentos Imobiliários, 48m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 71m² "," Rua 1128, 0, Setor Marista, Goiânia - GO "," R$ 579.000,00 ",Urbs Private M, 71m² 
" Apartamento com 2 quartos à venda no bairro Setor Oeste, 70m² "," Rua 9 a, 164, Setor Oeste, Goiânia - GO "," R$ 440.000,00 ",Pointer Imoveis, 70m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 126m² "," Rua 22, 25, Setor Oeste, Goiânia - GO "," R$ 880.000,00 ",Am&p Brasil Imobiliária Ltda, 126m² 
" Casa com 3 quartos à venda no bairro Vila Maria Luiza, 106m² "," Rua Havaí, 108, Vila Maria Luiza, Goiânia - GO "," R$ 395.000,00 ",Pinamar, 106m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 73m² "," Rua Acauá, 0, Parque Amazônia, Goiânia - GO "," R$ 435.000,00 ",André Lima, 73m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 221m² "," 1141 Quadra 247, 60, Setor Marista, Goiânia - GO "," R$ 1.840.246,00 ",R8 Imóveis, 221m² 
" Lote em Condomínio à venda no bairro Zona Rural, 1000m² "," Alexânia, Zona Rural, Alexânia - GO "," R$ 299.000,00 ",Ricardo Neri Imóveis, 1000m² 
" Casa com 3 quartos à venda no bairro Residencial Villa Verde, 1382m² "," Rua dos Pequizeiros, 0, Residencial Villa Verde, Senador Canedo - GO "," R$ 1.490.000,00 ",Urbs Private 3, 1382m² 
" Casa com 3 quartos à venda no bairro Parque Flamboyant, 155m² "," Rua 7 de Setembro, 9, Parque Flamboyant, Goiânia - GO "," R$ 409.500,00 ",Pointer Imoveis, 155m² 
" Apartamento com 2 quartos à venda no bairro Vila Rosa, 55m² "," Avenida Francisco de Melo, 0, Vila Rosa, Goiânia - GO "," R$ 230.000,00 ",André Lima, 55m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 73m² "," Rua Salvador, 0, Parque Amazônia, Goiânia - GO "," R$ 270.000,00 ",André Lima, 73m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 258m² "," Avenida T 5, 0, Setor Bueno, Goiânia - GO "," R$ 1.600.000,00 ",Urbs Private M, 258m² 
" Casa com 4 quartos à venda no bairro Setor Marista, 531m² "," Rua 23-a, 0, Setor Marista, Goiânia - GO "," R$ 3.200.000,00 ",Urbs Private M, 531m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 200m² "," Rua T 38 Qd. 149 Lt. 17, 0, Setor Bueno, Goiânia - GO "," R$ 850.000,00 ",Urbs Private 1, 200m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 153m² "," Rua T.27, Setor Bueno, Goiânia - GO "," R$ 775.149,00 ",Brasal Incorporações, 153m² 
" Casa com 2 quartos à venda no bairro Residencial Vereda dos Buritis, 88m² "," Rua Vb 50, 120, Residencial Vereda dos Buritis, Goiânia - GO "," R$ 335.000,00 ",Pinamar, 88m² 
" Casa com 5 quartos à venda no bairro Alphaville Flamboyant, 980m² "," Rua Caoba, 0, Alphaville Flamboyant, Goiânia - GO "," R$ 8.500.000,00 ",Urbs Private 1, 980m² 
" Lote em Condomínio à venda no bairro Zona Rural, 1160m² "," Alexânia, Zona Rural, Alexânia - GO "," R$ 348.000,00 ",Ricardo Neri Imóveis, 1160m² 
" Apartamento com 2 quartos à venda no bairro Leste Universitário, 48m² "," Rua 260, 0, Leste Universitário, Goiânia - GO "," R$ 260.000,00 ",Urbs Private 2, 48m² 
" Casa com 3 quartos à venda no bairro Residencial Tempo Novo, 160m² "," Rua Tn 7, 3, Residencial Tempo Novo, Goiânia - GO "," R$ 380.000,00 ",Pointer Imoveis, 160m² 
" Apartamento com 3 quartos à venda no bairro Jardim América, 130m² "," C-238, 6, Jardim América, Goiânia - GO "," R$ 850.000,00 ",R8 Imóveis, 130m² 
" Casa com 5 quartos à venda no bairro Alphaville Flamboyant, 1693m² "," Rua Pegasus, 0, Alphaville Flamboyant, Goiânia - GO "," R$ 8.000.000,00 ",Urbs Private 1, 1693m² 
" Apartamento com 2 quartos à venda no bairro Centro, 62m² "," Lagoa Quente, 0, Centro, Caldas Novas - GO "," R$ 197.000,00 ",Jones Imóveis, 62m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 220m² "," T 4, 300, Setor Bueno, Goiânia - GO "," R$ 870.000,00 ",Nova Mercado Imobiliário, 220m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 71m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 560.000,00 ",Urbs Private M, 71m² 
" Apartamento com 2 quartos à venda no bairro Vila Brasília, 66m² "," Rua 13, 0, Vila Brasília, Aparecida de Goiânia - GO "," R$ 280.000,00 ",Urbs Private 3, 66m² 
" Apartamento com 1 quarto à venda no bairro Setor Oeste, 47m² "," Rua 7, 0, Setor Oeste, Goiânia - GO "," R$ 395.000,00 ",Urbs Private M, 47m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 129m² "," Rua T 29, 0, Setor Bueno, Goiânia - GO "," R$ 800.000,00 ",Urbs Private M, 129m² 
" Apartamento com 2 quartos à venda no bairro Pedro Ludovico, 64m² "," Laudelino Gomes, 210, Pedro Ludovico, Goiânia - GO "," R$ 385.300,00 ",Nova Mercado Imobiliário, 64m² 
" Casa com 4 quartos à venda no bairro Vila Rezende, 1463m² "," Rua V 8, 0, Vila Rezende, Goiânia - GO "," R$ 2.800.000,00 ",Urbs Private 3, 1463m² 
" Apartamento com 2 quartos à venda no bairro Jardim América, 60m² "," Rua C 154, 2, Jardim América, Goiânia - GO "," R$ 359.000,00 ",Am&p Brasil Imobiliária Ltda, 60m² 
" Apartamento com 3 quartos à venda no bairro Jardim América, 121m² "," C229, 229, Jardim América, Goiânia - GO "," R$ 785.000,00 ",R8 Imóveis, 121m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 290m² "," T15, 319, Setor Bueno, Goiânia - GO "," R$ 2.345.000,00 ",R8 Imóveis, 290m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 28m² "," Rua T 55, 0, Setor Marista, Goiânia - GO "," R$ 330.000,00 ",Urbs Private M, 28m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 83m² "," Rua Santarém, 0, Parque Amazônia, Goiânia - GO "," R$ 300.000,00 ",André Lima, 83m² 
" Casa com 4 quartos à venda no bairro Setor Marista, 518m² "," Rua 1128, 0, Setor Marista, Goiânia - GO "," R$ 1.750.000,00 ",Urbs Private M, 518m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 318m² "," Alameda das Rosas, 0, Setor Oeste, Goiânia - GO "," R$ 3.200.000,00 ",Urbs Private 1, 318m² 
" Casa com 5 quartos à venda no bairro Jardim Novo Mundo, 426m² "," Rua Riviera, 0, Jardim Novo Mundo, Goiânia - GO "," R$ 550.000,00 ",Urbs Private 2, 426m² 
" Rural com 3 quartos à venda no bairro Zona Rural, 300m² "," Rua 01, 1, Zona Rural, Luziânia - GO "," R$ 2.450.000,00 ",Alessandro Jardim, 300m² 
" Apartamento com 2 quartos à venda no bairro Goiânia 02, 61m² "," Quadra Hc-3 - Lote 02, 00, Goiânia 02, Goiânia - GO "," R$ 300.000,00 ",Adélia Imóveis, 61m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 62m² "," Avenida Rio Negro, 0, Parque Amazônia, Goiânia - GO "," R$ 450.000,00 ",Urbs One, 62m² 
" Casa com 3 quartos à venda no bairro Anhangüera, 227m² "," Rua Machado de Assis, 0, Anhangüera, Goiânia - GO "," R$ 700.000,00 ",Urbs One, 227m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 187m² "," Rua T 29, 1603, Setor Bueno, Goiânia - GO "," R$ 1.430.000,00 ",Pinamar, 187m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 93m² "," Avenida T 13, 0, Setor Bueno, Goiânia - GO "," R$ 610.000,00 ",Urbs Private M, 93m² 
" Sítio à venda no bairro Loteamento Cidade de Guapó, 1540m² "," Br 060 Km 240 Zona Rural Guapó-go, Loteamento Cidade de Guapó, Guapó - GO "," R$ 59.000,00 ",Luma Imóveis, 1540m² 
" Casa com 3 quartos à venda no bairro Residencial Condomínio Jardim Veneza, 360m² "," Rua Jv 17, 0, Residencial Condomínio Jardim Veneza, Senador Canedo - GO "," R$ 920.000,00 ",Urbs Private 2, 360m² 
" Apartamento com 3 quartos à venda no bairro Jardim Atlântico, 106m² "," Copacabana, 135, Jardim Atlântico, Goiânia - GO "," R$ 769.000,00 ",Nova Mercado Imobiliário, 106m² 
" Casa com 3 quartos à venda no bairro Gentil Meireles, 188m² "," Espinós, 1, Gentil Meireles, Goiânia - GO "," R$ 675.000,00 ",M2 Investimentos Imobiliários, 188m² 
" Casa com 4 quartos à venda no bairro Jaó, 376m² "," Alameda Maracanã, Jaó, Goiânia - GO "," R$ 2.200.000,00 ",José Lourenço Neto Corretor de Imóveis, 376m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 150m² "," Rua T 29, 0, Setor Bueno, Goiânia - GO "," R$ 1.290.000,00 ",Urbs Private M, 150m² 
" Casa com 4 quartos à venda no bairro Residencial Celina Park, 295m² "," Rua Cp 19, 17, Residencial Celina Park, Goiânia - GO "," R$ 1.250.000,00 ",Pointer Imoveis, 295m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 28m² "," Rua 15, 3, Setor Marista, Goiânia - GO "," R$ 295.000,00 ",Pointer Imoveis, 28m² 
" Casa com 3 quartos à venda no bairro Ilda, 184m² "," Rua Dona Felicidade a Tameirão, 1, Ilda, Aparecida de Goiânia - GO "," R$ 800.000,00 ",Pointer Imoveis, 184m² 
" Apartamento com 2 quartos à venda no bairro Vila Alpes, 60m² "," Avenida dos Alpes, 316, Vila Alpes, Goiânia - GO "," R$ 333.900,00 ",Pointer Imoveis, 60m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 128m² "," Rua T 65, 0, Setor Bueno, Goiânia - GO "," R$ 780.000,00 ",Urbs Private M, 128m² 
" Apartamento com 3 quartos à venda no bairro Serrinha, 150m² "," Rua Samuel Morse, 0, Serrinha, Goiânia - GO "," R$ 1.050.000,00 ",Urbs Private M, 150m² 
" Casa com 4 quartos à venda no bairro Feliz, 240m² "," Rua L3, 0, Feliz, Goiânia - GO "," R$ 430.000,00 ",Urbs Private 1, 240m² 
" Lote à venda no bairro Jardins Barcelona, 300m² "," Via Mediterrânea, 0, Jardins Barcelona, Senador Canedo - GO "," R$ 285.000,00 ",Urbs Private 1, 300m² 
" Casa com 3 quartos à venda no bairro Jardim América, 679m² "," Rua C131, 0, Jardim América, Goiânia - GO "," R$ 799.000,00 ",Urbs Private 2, 679m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 76m² "," Feira de Santana, 1, Parque Amazônia, Goiânia - GO "," R$ 405.000,00 ",R8 Imóveis, 76m² 
" Casa com 3 quartos à venda no bairro Jardim Ipiranga, 180m² "," Avenida Joaquim Barbosa Qd. 07 Lt.32, 0, Jardim Ipiranga, Aparecida de Goiânia - GO "," R$ 350.000,00 ",Urbs Private 1, 180m² 
" Casa com 4 quartos à venda no bairro Residencial Aldeia do Vale, 1319m² "," Das Aroeiras, 1, Residencial Aldeia do Vale, Goiânia - GO "," R$ 3.300.000,00 ",M2 Investimentos Imobiliários, 1319m² 
" Casa com 3 quartos à venda no bairro Jardim Buriti Sereno, 113m² "," Rua Dias Ferreira, 1, Jardim Buriti Sereno, Aparecida de Goiânia - GO "," R$ 300.000,00 ",Pointer Imoveis, 113m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 71m² "," T 28, 54, Setor Bueno, Goiânia - GO "," R$ 463.000,00 ",Nova Mercado Imobiliário, 71m² 
" Apartamento com 2 quartos à venda no bairro Residencial Flórida, 65m² "," Rua F4, 0, Residencial Flórida, Goiânia - GO "," R$ 160.000,00 ",Urbs Private 2, 65m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 223m² "," T 37, 3314, Setor Bueno, Goiânia - GO "," R$ 1.910.000,00 ",M2 Investimentos Imobiliários, 223m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 104m² "," T 30, 100, Setor Bueno, Goiânia - GO "," R$ 800.000,00 ",R8 Imóveis, 104m² 
" Apartamento com 3 quartos à venda no bairro Santa Genoveva, 74m² "," Timburé, 2, Santa Genoveva, Goiânia - GO "," R$ 350.000,00 ",Nova Mercado Imobiliário, 74m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 69m² "," Av. T8 Esquina Com Rua T30, 9, Setor Bueno, Goiânia - GO "," R$ 489.000,00 ",R8 Imóveis, 69m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 162m² "," Rua T 64, 1175, Setor Bueno, Goiânia - GO "," R$ 1.300.000,00 ",Pinamar, 162m² 
" Apartamento com 3 quartos à venda no bairro Vila Rosa, 65m² "," Maria Alice, 223, Vila Rosa, Goiânia - GO "," R$ 482.000,00 ",M2 Investimentos Imobiliários, 65m² 
" Apartamento com 3 quartos à venda no bairro Negrão de Lima, 105m² "," Rua Maria Inês, 2, Negrão de Lima, Goiânia - GO "," R$ 435.000,00 ",Amj Gestão Imobiliária, 105m² 
" Casa com 4 quartos à venda no bairro Jardim Novo Mundo, 174m² "," Rua Concórdia, 0, Jardim Novo Mundo, Goiânia - GO "," R$ 980.000,00 ",Urbs Private 3, 174m² 
" Casa com 3 quartos à venda no bairro Parque Amazônia, 235m² "," Alameda Juazeiro do Norte, 0, Parque Amazônia, Goiânia - GO "," R$ 1.269.000,00 ",André Lima, 235m² 
" Lote em Condomínio à venda no bairro Terras Alpha Residencial 1, 300m² "," Avenida Alphaville, 24, Terras Alpha Residencial 1, Senador Canedo - GO "," R$ 180.000,00 ",Amj Gestão Imobiliária, 300m² 
