Título,Endereço,Preço,Anunciante,Aréa
" Casa com 4 quartos à venda no bairro Santa Genoveva, 320m² "," Rua da Concórdia, 0, Santa Genoveva, Goiânia - GO "," R$ 1.500.635,00 ",Urbs Private 1, 320m² 
" Casa com 3 quartos à venda no bairro Sudoeste, 140m² "," Rua C 55, 279, Sudoeste, Goiânia - GO "," R$ 535.000,00 ",Am&p Brasil Imobiliária Ltda, 140m² 
" Apartamento com 3 quartos à venda no bairro Negrão de Lima, 68m² "," 402, 26, Negrão de Lima, Goiânia - GO "," R$ 350.000,00 ",M2 Investimentos Imobiliários, 68m² 
" Casa com 4 quartos à venda no bairro Sítios Santa Luzia, 230m² "," Rua X 16, 0, Sítios Santa Luzia, Aparecida de Goiânia - GO "," R$ 680.000,00 ",Urbs Private 3, 230m² 
" Casa com 3 quartos à venda no bairro Residencial Porto Seguro, 300m² "," Rua Rps 5, 0, Residencial Porto Seguro, Goiânia - GO "," R$ 475.000,00 ",Urbs Private 1, 300m² 
" Lote à venda no bairro Jardim Petrópolis, 377m² "," Rua São Carlos, 0, Jardim Petrópolis, Goiânia - GO "," R$ 255.000,00 ",Urbs Private 3, 377m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 160m² "," Rua 7, 0, Setor Oeste, Goiânia - GO "," R$ 685.000,00 ",Urbs Private 1, 160m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 254m² "," Rua T 36 - Até 3764 - Lado Par, 2900, Setor Bueno, Goiânia - GO "," R$ 2.300.000,00 ",Pinamar, 254m² 
" Lote em Condomínio à venda no bairro Zona Rural, 1285m² "," Alexânia, Zona Rural, Alexânia - GO "," R$ 357.000,00 ",Ricardo Neri Imóveis, 1285m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 27m² "," Avenida D, 0, Setor Marista, Goiânia - GO "," R$ 399.000,00 ",Urbs Private 2, 27m² 
" Galpão à venda no bairro Jardim Presidente, 819m² "," Presidente Kubitschek, 1, Jardim Presidente, Goiânia - GO "," R$ 1.499.000,00 ",R8 Imóveis, 819m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 97m² "," T 4, 880, Setor Bueno, Goiânia - GO "," R$ 428.000,00 ",M2 Investimentos Imobiliários, 97m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 398m² "," Av. T 5 Setor Bueno, 12, Setor Bueno, Goiânia - GO "," R$ 4.789.000,00 ",R8 Imóveis, 398m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 94m² "," Rua Cuiabá, 0, Parque Amazônia, Goiânia - GO "," R$ 670.000,00 ",Urbs Private M, 94m² 
" Casa com 3 quartos à venda no bairro Residencial Moinho dos Ventos, 126m² "," Rua MDV 12, 20, Residencial Moinho dos Ventos, Goiânia - GO "," R$ 450.000,00 ",Pinamar, 126m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 203m² "," Rua 145, 0, Setor Marista, Goiânia - GO "," R$ 1.380.000,00 ",Urbs Private 1, 203m² 
" Casa com 5 quartos à venda no bairro Setor Sul, 600m² "," Rua 131, 0, Setor Sul, Goiânia - GO "," R$ 1.950.000,00 ",Urbs Private M, 600m² 
" Casa com 4 quartos à venda no bairro Jardim Atlântico, 210m² "," Rua da Medusa, 0, Jardim Atlântico, Goiânia - GO "," R$ 640.000,00 ",André Lima, 210m² 
" Apartamento com 4 quartos à venda no bairro Setor Marista, 288m² "," Rua 1138, 201, Setor Marista, Goiânia - GO "," R$ 2.100.000,00 ",Am&p Brasil Imobiliária Ltda, 288m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 119m² "," T 30, 109, Setor Bueno, Goiânia - GO "," R$ 830.000,00 ",R8 Imóveis, 119m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 195m² "," Rua 1128, 50, Setor Marista, Goiânia - GO "," R$ 1.490.000,00 ",R8 Imóveis, 195m² 
" Casa com 3 quartos à venda no bairro Jardim América, 105m² "," Rua C176, 0, Jardim América, Goiânia - GO "," R$ 450.000,00 ",André Lima, 105m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 86m² "," T 51, 51, Setor Bueno, Goiânia - GO "," R$ 620.000,00 ",M2 Investimentos Imobiliários, 86m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 129m² "," Rua 38, 45, Setor Marista, Goiânia - GO "," R$ 1.045.000,00 ",R8 Imóveis, 129m² 
" Casa em Condomínio com 4 quartos à venda no bairro Jardins Lisboa, 377m² "," Dos Ipês, 3, Jardins Lisboa, Goiânia - GO "," R$ 2.200.000,00 ",M2 Investimentos Imobiliários, 377m² 
" Casa com 3 quartos à venda no bairro Jardins Bolonha, 300m² "," Rua dos Angelins, 0, Jardins Bolonha, Senador Canedo - GO "," R$ 1.350.000,00 ",Urbs Private 2, 300m² 
" Casa em Condomínio com 4 quartos à venda no bairro Residencial Granville, 400m² "," Granville, Residencial Granville, Goiânia - GO "," R$ 1.900.000,00 ",Cerrado Imóveis, 400m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 434m² "," Alameda das Rosas, 0, Setor Oeste, Goiânia - GO "," R$ 2.400.000,00 ",Urbs Private 3, 434m² 
" Casa com 4 quartos à venda no bairro Jardins Verona, 434m² "," Rua das Baronezas, 0, Jardins Verona, Goiânia - GO "," R$ 2.550.000,00 ",Urbs Private 1, 434m² 
" Apartamento com 1 quarto à venda no bairro Esplanada, 33m² "," Rua Bandeirantes, 0, Esplanada, Rio Quente - GO "," R$ 95.000,00 ",Jones Imóveis, 33m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 180m² "," Rua 1124, 273, Setor Marista, Goiânia - GO "," R$ 1.402.000,00 ",R8 Imóveis, 180m² 
" Lote à venda no bairro Setor Pontal Sul, 502m² "," Rua Minio L.13 Qd.44, Setor Pontal Sul, Aparecida de Goiânia - GO "," R$ 110.000,00 ",Luma Imóveis, 502m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 176m² "," Rua 3, 1000, Setor Oeste, Goiânia - GO "," R$ 1.480.000,00 ",Pinamar, 176m² 
" Lote com 4 quartos à venda no bairro Jardim América, 455m² "," Rua C145, 0, Jardim América, Goiânia - GO "," R$ 625.000,00 ",Urbs Private 3, 455m² 
" Apartamento com 4 quartos à venda no bairro Setor Marista, 256m² "," 1141, 1, Setor Marista, Goiânia - GO "," R$ 1.900.000,00 ",M2 Investimentos Imobiliários, 256m² 
" Apartamento com 3 quartos à venda no bairro Vila Maria José, 105m² "," Rua Coronel Ernesto Garcia, 0, Vila Maria José, Goiânia - GO "," R$ 860.000,00 ",Urbs Private 1, 105m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 56m² "," Canuma, 7, Parque Amazônia, Goiânia - GO "," R$ 264.000,00 ",R8 Imóveis, 56m² 
" Apartamento com 2 quartos à venda no bairro Negrão de Lima, 64m² "," Av Armando de Godoy, 220, Negrão de Lima, Goiânia - GO "," R$ 330.000,00 ",R8 Imóveis, 64m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 124m² "," Rua 3, 0, Setor Oeste, Goiânia - GO "," R$ 455.000,00 ",André Lima, 124m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 182m² "," Rua 1124, 219, Setor Marista, Goiânia - GO "," R$ 1.670.000,00 ",Am&p Brasil Imobiliária Ltda, 182m² 
" Apartamento com 2 quartos à venda no bairro Parque Oeste Industrial, 56m² "," Rua do Esmalte, 12, Parque Oeste Industrial, Goiânia - GO "," R$ 249.900,00 ",Pointer Imoveis, 56m² 
" Casa com 3 quartos à venda no bairro Três Marias, 149m² "," Rua Elche, 208, Três Marias, Goiânia - GO "," R$ 550.000,00 ",Pinamar, 149m² 
" Apartamento com 3 quartos à venda no bairro Parque Lozandes, 163m² "," Pl 3, 14, Parque Lozandes, Goiânia - GO "," R$ 1.075.000,00 ",R8 Imóveis, 163m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 124m² "," Rua 3, 41, Setor Oeste, Goiânia - GO "," R$ 468.000,00 ",Pointer Imoveis, 124m² 
" Casa com 4 quartos à venda no bairro Jardins Valência, 389m² "," Rua dos Jacarandás, 0, Jardins Valência, Goiânia - GO "," R$ 2.600.000,00 ",Urbs Private 2, 389m² 
" Apartamento com 2 quartos à venda no bairro Jardim Atlântico, 64m² "," Rua de Icarai, 346, Jardim Atlântico, Goiânia - GO "," R$ 315.000,00 ",Pinamar, 64m² 
" Apartamento com 4 quartos à venda no bairro Nova Suiça, 228m² "," T 15, 1, Nova Suiça, Goiânia - GO "," R$ 520.000,00 ",M2 Investimentos Imobiliários, 228m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 71m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 560.000,00 ",André Lima, 71m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 118m² "," T 28, 576, Setor Bueno, Goiânia - GO "," R$ 599.000,00 ",Nova Mercado Imobiliário, 118m² 
" Casa com 4 quartos à venda no bairro Jardins Milão, 684m² "," Rua das Dálias, 0, Jardins Milão, Goiânia - GO "," R$ 4.300.000,00 ",Urbs Private 3, 684m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 116m² "," Rua Amélia Artiaga Jardim, 8, Setor Marista, Goiânia - GO "," R$ 920.405,00 ",Pointer Imoveis, 116m² 
" Apartamento com 5 quartos à venda no bairro Nova Suiça, 242m² "," Rua C258, 0, Nova Suiça, Goiânia - GO "," R$ 850.000,00 ",Urbs Private 2, 242m² 
" Casa com 3 quartos à venda no bairro Jardim Atlântico, 140m² "," Rua Itaipu, 128, Jardim Atlântico, Goiânia - GO "," R$ 720.000,00 ",Pinamar, 140m² 
" Casa com 3 quartos à venda no bairro Setor de Mansões, 129m² "," Fauna, 2, Setor de Mansões, Rio Quente - GO "," R$ 160.000,00 ",Jones Imóveis, 129m² 
" Casa com 4 quartos à venda no bairro Alphaville Flamboyant Residencial Araguaia, 525m² "," Rua Piratini, 0, Alphaville Flamboyant Residencial Araguaia, Goiânia - GO "," R$ 2.950.000,00 ",Urbs Private 2, 525m² 
 Apartamento com 3 quartos à venda no bairro Setor Bueno ," T 71, 138, Setor Bueno, Goiânia - GO "," R$ 1.068.000,00 ",R8 Imóveis,
" Apartamento com 4 quartos à venda no bairro Setor Marista, 286m² "," Rua 1129, 0, Setor Marista, Goiânia - GO "," R$ 3.050.000,00 ",Urbs Private M, 286m² 
" Casa em Condomínio com 5 quartos à venda no Condomínio do Lago, 560m² "," Lago 20, 1, Condomínio do Lago, Goiânia - GO "," R$ 2.140.000,00 ",M2 Investimentos Imobiliários, 560m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 140m² "," Av T3, 1197, Setor Bueno, Goiânia - GO "," R$ 980.000,00 ",Abel Filho Imóveis, 140m² 
" Lote em Condomínio à venda no bairro Zona Rural, 1000m² "," Alexânia, Zona Rural, Alexânia - GO "," R$ 328.000,00 ",Ricardo Neri Imóveis, 1000m² 
" Rural com 3 quartos à venda no bairro Zona Rural, 200m² "," Go-080, 12, Zona Rural, Goianésia - GO "," R$ 3.000.000,00 ",Am&p Brasil Imobiliária Ltda, 200m² 
" Casa com 3 quartos à venda no bairro Residencial Goiânia Golfe Clube, 406m² "," Rodovia Go-020, 0, Residencial Goiânia Golfe Clube, Goiânia - GO "," R$ 2.300.000,00 ",Urbs Private M, 406m² 
" Apartamento com 3 quartos à venda no bairro Parque Amazônia, 84m² "," Tuxaua, 70, Parque Amazônia, Goiânia - GO "," R$ 435.000,00 ",M2 Investimentos Imobiliários, 84m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 71m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 580.000,00 ",Urbs Private 1, 71m² 
" Apartamento com 3 quartos à venda no bairro Setor Sul, 183m² "," Rua 99, 0, Setor Sul, Goiânia - GO "," R$ 460.000,00 ",Bfm Imóveis, 183m² 
" Casa com 3 quartos à venda no Condomínio do Lago, 579m² "," Lago 1, 1, Condomínio do Lago, Goiânia - GO "," R$ 2.400.000,00 ",M2 Investimentos Imobiliários, 579m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 157m² "," Rua 1124, 0, Setor Marista, Goiânia - GO "," R$ 1.300.000,00 ",Urbs Private M, 157m² 
" Apartamento com 4 quartos à venda no bairro Jardim Goiás, 180m² "," Rua 70, 18, Jardim Goiás, Goiânia - GO "," R$ 1.495.000,00 ",R8 Imóveis, 180m² 
" Casa com 2 quartos à venda no bairro Jardim Tropical, 93m² "," Rua 113, 1, Jardim Tropical, Aparecida de Goiânia - GO "," R$ 326.000,00 ",Pointer Imoveis, 93m² 
" Casa em Condomínio com 3 quartos à venda no bairro Conjunto Residencial Storil, 100m² "," Pedro Luiz Ribeiro, 10, Conjunto Residencial Storil, Aparecida de Goiânia - GO "," R$ 599.000,00 ",M2 Investimentos Imobiliários, 100m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 97m² "," Avenida T 4, 0, Setor Bueno, Goiânia - GO "," R$ 580.000,00 ",Urbs Private M, 97m² 
" Apartamento com 3 quartos à venda no bairro Negrão de Lima, 79m² "," Rua 402, 500, Negrão de Lima, Goiânia - GO "," R$ 368.000,00 ",Amj Gestão Imobiliária, 79m² 
" Apartamento com 4 quartos à venda no bairro Setor Marista, 175m² "," Rua 34, 90, Setor Marista, Goiânia - GO "," R$ 990.000,00 ",Tabata Fonseca Construtora e Incorporadora, 175m² 
" Apartamento com 2 quartos à venda no bairro Jardim Goiás, 62m² "," Rua 6, 109, Jardim Goiás, Goiânia - GO "," R$ 480.000,00 ",Pinamar, 62m² 
" Casa com 5 quartos à venda no bairro Esplanada, 350m² "," Av Pará, 0, Esplanada, Rio Quente - GO "," R$ 475.000,00 ",Jones Imóveis, 350m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 141m² "," T 71, 138, Setor Bueno, Goiânia - GO "," R$ 1.046.000,00 ",Nova Mercado Imobiliário, 141m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 63m² "," T 36, 2282, Setor Bueno, Goiânia - GO "," R$ 500.000,00 ",M2 Investimentos Imobiliários, 63m² 
" Lote à venda no bairro Jardins Barcelona, 501m² "," Rua Tibre, 0, Jardins Barcelona, Senador Canedo - GO "," R$ 390.000,00 ",Urbs One, 501m² 
" Casa com 3 quartos à venda no bairro Jardim Novo Mundo, 152m² "," Rua Valdevia, 1, Jardim Novo Mundo, Goiânia - GO "," R$ 420.000,00 ",Am&p Brasil Imobiliária Ltda, 152m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 324m² "," Rua 148, 0, Setor Marista, Goiânia - GO "," R$ 3.390.000,00 ",Urbs Private M, 324m² 
" Apartamento com 2 quartos à venda no bairro Jardim Goiás, 97m² "," Rua 65, 0, Jardim Goiás, Goiânia - GO "," R$ 800.000,00 ",Urbs Private 1, 97m² 
" Apartamento com 2 quartos à venda no bairro Setor Marista, 71m² "," Rua 1138, 0, Setor Marista, Goiânia - GO "," R$ 580.000,00 ",Urbs Private M, 71m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 90m² "," T-37, 3449, Setor Bueno, Goiânia - GO "," R$ 580.000,00 ",R8 Imóveis, 90m² 
" Apartamento com 3 quartos à venda no bairro Vila Rosa, 90m² "," Rua Desembargador Eládio Amorim, 31, Vila Rosa, Goiânia - GO "," R$ 445.000,00 ",Amj Gestão Imobiliária, 90m² 
" Casa com 7 quartos à venda no bairro Jardim América, 481m² "," Rua C 158, 0, Jardim América, Goiânia - GO "," R$ 790.000,00 ",Urbs Private 3, 481m² 
" Apartamento com 3 quartos à venda no bairro Alto da Glória, 68m² "," Rua Florianópolis, 0, Alto da Glória, Goiânia - GO "," R$ 310.000,00 ",Bfm Imóveis, 68m² 
" Apartamento com 3 quartos à venda no bairro Vila Bela, 76m² "," Avenida Afonso Pena, 3, Vila Bela, Goiânia - GO "," R$ 385.000,00 ",Pointer Imoveis, 76m² 
" Casa em Condomínio com 5 quartos à venda no Condomínio do Lago, 500m² "," Lago 4, 5, Condomínio do Lago, Goiânia - GO "," R$ 2.890.000,00 ",M2 Investimentos Imobiliários, 500m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 126m² "," Avenida T 1, 962, Setor Bueno, Goiânia - GO "," R$ 580.000,00 ",Pinamar, 126m² 
" Casa com 5 quartos à venda no bairro Campinas, 525m² "," Av. Leste Oeste, Campinas, Goiânia - GO "," R$ 550.000,00 ",Oten Negócios Imobiliários, 525m² 
" Apartamento com 2 quartos à venda no bairro Vila Alpes, 65m² "," Rua A13, 0, Vila Alpes, Goiânia - GO "," R$ 309.000,00 ",Urbs Private 2, 65m² 
" Lote à venda no bairro Jardins Nápoles, 375m² "," Rua Dália, 0, Jardins Nápoles, Senador Canedo - GO "," R$ 370.000,00 ",Urbs Private 2, 375m² 
" Apartamento com 3 quartos à venda no bairro Jardim Nova Era, 72m² "," Barão do Rio Branco, 2, Jardim Nova Era, Aparecida de Goiânia - GO "," R$ 335.000,00 ",M2 Investimentos Imobiliários, 72m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 165m² "," Rua T 30, 0, Setor Bueno, Goiânia - GO "," R$ 750.000,00 ",André Lima, 165m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 87m² "," Rua T 29, 1001, Setor Bueno, Goiânia - GO "," R$ 720.000,00 ",Pointer Imoveis, 87m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 195m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 1.590.000,00 ",Urbs Private 2, 195m² 
" Apartamento com 3 quartos à venda no bairro Alto da Glória, 101m² "," Rua Natal, 0, Alto da Glória, Goiânia - GO "," R$ 760.000,00 ",André Lima, 101m² 
" Casa em Condomínio com 3 quartos à venda no bairro Setor Marista, 111m² "," Viela 1141, 574, Setor Marista, Goiânia - GO "," R$ 980.000,00 ",Obter Imóveis, 111m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 182m² "," 1124, 1, Setor Marista, Goiânia - GO "," R$ 1.725.000,00 ",Nova Mercado Imobiliário, 182m² 
" Casa com 3 quartos à venda no bairro São Judas Tadeu, 208m² "," Rua Sc 6, 1, São Judas Tadeu, Goiânia - GO "," R$ 510.000,00 ",Nova Mercado Imobiliário, 208m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 104m² "," T 30, 100, Setor Bueno, Goiânia - GO "," R$ 800.000,00 ",R8 Imóveis, 104m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 91m² "," Rua 31, 0, Setor Oeste, Goiânia - GO "," R$ 360.000,00 ",Urbs Private 2, 91m² 
" Apartamento com 2 quartos à venda no bairro Setor Bueno, 69m² "," T 30, 107, Setor Bueno, Goiânia - GO "," R$ 475.000,00 ",R8 Imóveis, 69m² 
" Apartamento com 2 quartos à venda no bairro Jardim Leblon, 56m² "," Rua Fuad Rassi, Jardim Leblon, Goiânia - GO "," R$ 256.000,00 ",Pointer Imoveis, 56m² 
" Lote em Condomínio à venda no bairro Zona Rural, 1160m² "," Alexânia, Zona Rural, Alexânia - GO "," R$ 348.000,00 ",Ricardo Neri Imóveis, 1160m² 
" Lote à venda no bairro Residencial Goiânia Golfe Clube, 887m² "," Rua Ggc25, 0, Residencial Goiânia Golfe Clube, Goiânia - GO "," R$ 1.170.000,00 ",Urbs Private 2, 887m² 
" Apartamento com 3 quartos à venda no bairro Jardim Goiás, 177m² "," Avenida H, 0, Jardim Goiás, Goiânia - GO "," R$ 1.400.000,00 ",Urbs Private 2, 177m² 
" Apartamento com 5 quartos à venda no bairro Setor Marista, 323m² "," Rua 148, 320, Setor Marista, Goiânia - GO "," R$ 3.260.000,00 ",R8 Imóveis, 323m² 
 Lote à venda no bairro Residencial Aldeia do Vale ," Floresta, Residencial Aldeia do Vale, Goiânia - GO "," R$ 1.647.000,00 ",Nova Mercado Imobiliário,
" Apartamento com 3 quartos à venda no bairro Setor Marista, 126m² "," 1124, 248, Setor Marista, Goiânia - GO "," R$ 950.000,00 ",R8 Imóveis, 126m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 225m² "," Rua T 52, 0, Setor Bueno, Goiânia - GO "," R$ 1.500.000,00 ",André Lima, 225m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 160m² "," Rua 7, 0, Setor Oeste, Goiânia - GO "," R$ 685.000,00 ",Urbs One, 160m² 
" Apartamento com 3 quartos à venda no bairro Negrão de Lima, 76m² "," Avenida Armando de Godoy, 0, Negrão de Lima, Goiânia - GO "," R$ 440.000,00 ",Urbs One, 76m² 
" Apartamento com 2 quartos à venda no bairro Serrinha, 70m² "," Avenida T 4, 0, Serrinha, Goiânia - GO "," R$ 665.000,00 ",André Lima, 70m² 
" Casa com 4 quartos à venda no bairro Jardim América, 170m² "," C120, 267, Jardim América, Goiânia - GO "," R$ 849.000,00 ",Nova Mercado Imobiliário, 170m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 132m² "," T 30, 2105, Setor Bueno, Goiânia - GO "," R$ 918.000,00 ",Nova Mercado Imobiliário, 132m² 
" Casa em Condomínio com 3 quartos à venda no bairro Jardins Lisboa, 197m² "," Rua das Hortênsias, 2222, Jardins Lisboa, Goiânia - GO "," R$ 1.850.000,00 ",Pinamar, 197m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 221m² "," 1141, 342, Setor Marista, Goiânia - GO "," R$ 1.910.000,00 ",R8 Imóveis, 221m² 
" Casa com 3 quartos à venda no bairro Esplanada, 600m² "," Avenida das Nações, 0, Esplanada, Rio Quente - GO "," R$ 165.000,00 ",Jones Imóveis, 600m² 
" Apartamento com 3 quartos à venda no bairro Esplanada, 126m² "," Esplanada, 1, Esplanada, Rio Quente - GO "," R$ 230.000,00 ",Jones Imóveis, 126m² 
" Casa com 3 quartos à venda no bairro Parque Trindade, 196m² "," Rua Roberto Beneditti, 0, Parque Trindade, Aparecida de Goiânia - GO "," R$ 450.000,00 ",Urbs Private 1, 196m² 
" Apartamento com 3 quartos à venda no bairro Goiânia 02, 74m² "," Avenida Pedro Paulo de Souza, 1750, Goiânia 02, Goiânia - GO "," R$ 285.000,00 ",Luyggi Rodrigues, 74m² 
" Rural com 5 quartos à venda no bairro Zona Rural, 200m² "," Área Rural, 12, Zona Rural, Bela Vista de Goiás - GO "," R$ 2.500.000,00 ",Am&p Brasil Imobiliária Ltda, 200m² 
" Lote à venda no bairro Alphaville Flamboyant, 1178m² "," Avenida Mambaí, 0, Alphaville Flamboyant, Goiânia - GO "," R$ 2.945.325,00 ",Bfm Imóveis, 1178m² 
" Casa com 3 quartos à venda no bairro Setor Sul, 403m² "," Rua 105-a, 0, Setor Sul, Goiânia - GO "," R$ 590.000,00 ",Urbs Private 3, 403m² 
" Apartamento com 2 quartos à venda no bairro Residencial Eldorado, 93m² "," Avenida Milão, 131, Residencial Eldorado, Goiânia - GO "," R$ 499.000,00 ",Amj Gestão Imobiliária, 93m² 
" Apartamento com 3 quartos à venda no bairro Setor Oeste, 93m² "," Rua Dom Orione, 239, Setor Oeste, Goiânia - GO "," R$ 315.000,00 ",Alves Consultoria Imobiliária, 93m² 
" Casa com 4 quartos à venda no bairro Jardim América, 485m² "," Rua C120, 0, Jardim América, Goiânia - GO "," R$ 850.000,00 ",Urbs One, 485m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 111m² "," T 15, 1399, Setor Bueno, Goiânia - GO "," R$ 410.000,00 ",Nova Mercado Imobiliário, 111m² 
" Cobertura com 4 quartos à venda no bairro Vila Rosa, 152m² "," Presidente Linhares, 36, Vila Rosa, Goiânia - GO "," R$ 755.000,00 ",Nova Mercado Imobiliário, 152m² 
" Casa com 3 quartos à venda no bairro Vila São Joaquim, 306m² "," Rua 8, 0, Vila São Joaquim, Aparecida de Goiânia - GO "," R$ 380.000,00 ",Urbs Private 1, 306m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 157m² "," Rua 1124, 0, Setor Marista, Goiânia - GO "," R$ 1.723.700,00 ",Vm Imóveis, 157m² 
" Apartamento com 2 quartos à venda no bairro Parque Amazônia, 54m² "," Rua Manaus, 45690, Parque Amazônia, Goiânia - GO "," R$ 280.000,00 ",Pinamar, 54m² 
" Casa com 3 quartos à venda no bairro Santa Genoveva, 240m² "," Cedro, 1, Santa Genoveva, Goiânia - GO "," R$ 760.000,00 ",M2 Investimentos Imobiliários, 240m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 45m² "," 138, 6, Setor Marista, Goiânia - GO "," R$ 395.000,00 ",M2 Investimentos Imobiliários, 45m² 
" Apartamento com 3 quartos à venda no bairro Sudoeste, 86m² "," Rua C 56, 561, Sudoeste, Goiânia - GO "," R$ 295.000,00 ",Pinamar, 86m² 
" Apartamento com 4 quartos à venda no bairro Setor Oeste, 160m² "," Rua 7, 0, Setor Oeste, Goiânia - GO "," R$ 685.000,00 ",André Lima, 160m² 
" Apartamento com 2 quartos à venda no bairro Campinas, 61m² "," 24 de Outubro, 577, Campinas, Goiânia - GO "," R$ 300.500,00 ",Nova Mercado Imobiliário, 61m² 
" Apartamento com 3 quartos à venda no bairro Nova Suiça, 108m² "," C263, 431, Nova Suiça, Goiânia - GO "," R$ 449.000,00 ",Nova Mercado Imobiliário, 108m² 
" Apartamento com 4 quartos à venda no bairro Setor Bueno, 233m² "," Rua T 62, 0, Setor Bueno, Goiânia - GO "," R$ 950.000,00 ",Urbs Private 2, 233m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 26m² "," Avenida Portugal, 0, Setor Marista, Goiânia - GO "," R$ 350.000,00 ",Urbs Private 2, 26m² 
" Casa com 3 quartos à venda no bairro Jardins Bolonha, 338m² "," Rua dos Jatobas, 0, Jardins Bolonha, Senador Canedo - GO "," R$ 1.650.000,00 ",Urbs Private 1, 338m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 150m² "," Rua 145, 45, Setor Marista, Goiânia - GO "," R$ 1.130.000,00 ",Am&p Brasil Imobiliária Ltda, 150m² 
" Apartamento com 4 quartos à venda no bairro Nova Suiça, 219m² "," Rua C 259, 490, Nova Suiça, Goiânia - GO "," R$ 990.000,00 ",Am&p Brasil Imobiliária Ltda, 219m² 
" Apartamento com 3 quartos à venda no bairro Setor Marista, 177m² "," Rua 1141, 0, Setor Marista, Goiânia - GO "," R$ 1.420.000,00 ",Urbs Private 2, 177m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 71m² "," T 30, 1022, Setor Bueno, Goiânia - GO "," R$ 210.000,00 ",Nova Mercado Imobiliário, 71m² 
" Apartamento com 2 quartos à venda no bairro Vila Brasília, 66m² "," Rua 13, 0, Vila Brasília, Aparecida de Goiânia - GO "," R$ 280.000,00 ",Urbs Private 3, 66m² 
 Apartamento com 3 quartos à venda no bairro Setor Bueno ," T 48, 976, Setor Bueno, Goiânia - GO "," R$ 818.900,00 ",R8 Imóveis,
" Apartamento com 3 quartos à venda no bairro Jardim América, 121m² "," C-229, 536, Jardim América, Goiânia - GO "," R$ 765.000,00 ",R8 Imóveis, 121m² 
" Apartamento com 1 quarto à venda no bairro Setor Marista, 45m² "," 138, 6, Setor Marista, Goiânia - GO "," R$ 377.000,00 ",M2 Investimentos Imobiliários, 45m² 
" Apartamento com 3 quartos à venda no bairro Setor Bueno, 132m² "," T-30, 2105, Setor Bueno, Goiânia - GO "," R$ 880.000,00 ",R8 Imóveis, 132m² 
" Lote em Condomínio à venda no bairro Alvorada, 300m² "," Rua Alameda Irlanda, 2222, Alvorada, Senador Canedo - GO "," R$ 180.000,00 ",Pinamar, 300m² 
